selection3_name	selection3_url	selection3_selection4	selection3_selection4_url	selection5	selection5_url
1996 - Wikipedia	https://www.bing.com/ck/a?!&&p=5d72012d7536e60509d25b420ca15f2cbf3eb886d4b0e6c7d589aa2c71a7ad2bJmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTIxNg&ptn=3&fclid=5406cf72-e1ee-11ec-bc73-34793b510f9c&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMTk5Ng&ntb=1	"1996 (MCMXCVI) was a leap year starting on Monday of the Gregorian calendar, the 1996th year of the Common Era (CE) and Anno Domini (AD) designations, the 996th year of the 2nd millennium, the 96th year of the 20th century, and the 7th year of the 1990s decade.
1996 was designated as:
• International Year for the Eradication of Poverty"			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
Historical Events in 1996 - On This Day	https://www.bing.com/ck/a?!&&p=cfc199a2161b5ec64ed4ad69398384a10f12575ff67c23d9e1e24e676f15cefaJmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTI0Mg&ptn=3&fclid=54086496-e1ee-11ec-80ed-e09bd0f5c475&u=a1aHR0cHM6Ly93d3cub250aGlzZGF5LmNvbS9ldmVudHMvZGF0ZS8xOTk2&ntb=1				https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
What Happened in 1996 - Significant Events, Prices, Top Movies, …	https://www.bing.com/ck/a?!&&p=117f6d8a577b78a06c3f440788ab88a2f2b8688cce171ccbe96d36bf92a1bbcaJmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTI2OA&ptn=3&fclid=5408a66a-e1ee-11ec-8841-2edb6ad3d8a7&u=a1aHR0cHM6Ly93d3cudGhlcGVvcGxlaGlzdG9yeS5jb20vMTk5Ni5odG1s&ntb=1				https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
1996 in the United States - Wikipedia	https://www.bing.com/ck/a?!&&p=87a4667f836053ae9e7cf23c9c1cb757edae54a0043d052becf67c4af67512bfJmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTMwNw&ptn=3&fclid=540938a8-e1ee-11ec-98ce-d98a48355c2d&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMTk5Nl9pbl90aGVfVW5pdGVkX1N0YXRlcw&ntb=1	Events from the year 1996 in the United States.			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
What happened in 1996 | TakeMeBack.to	https://www.bing.com/ck/a?!&&p=f41f89eda2dc4e5c5979e084c974cb87f39e7975df0f10af90eb3611fe714218JmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTMyOQ&ptn=3&fclid=54097c6e-e1ee-11ec-b716-78cba33ce810&u=a1aHR0cHM6Ly90YWtlbWViYWNrLnRvL3llYXIvMTk5Ng&ntb=1				https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
What Happened In 1996 - Historical Events 1996	https://www.bing.com/ck/a?!&&p=ff61a89c7d60c0d795f21499f23ba5824510ca7eb5a5ee64e5436351c99b22f1JmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTM1MA&ptn=3&fclid=5409a427-e1ee-11ec-8d7f-55c12f5c99e7&u=a1aHR0cDovL3d3dy5ldmVudHNoaXN0b3J5LmNvbS9kYXRlLzE5OTYv&ntb=1	Historical Events for the Year 1996. 1st January » Curaçao gains limited self-government, though it remains within free association with the Netherlands. 3rd January » The Motorola StarTAC, the first Flip (form) e.g flip phone and one of the first mobile phones to …			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
Feature Film, Released between 1996-01-01 and 1996-12 …	https://www.bing.com/ck/a?!&&p=989c24c251effeb62b14170886b40aad48648ad9576e144fc012561d1fbd3054JmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTM3MQ&ptn=3&fclid=5409ba2a-e1ee-11ec-bfd2-1b846acd1453&u=a1aHR0cHM6Ly93d3cuaW1kYi5jb20vc2VhcmNoL3RpdGxlLz95ZWFyPTE5OTYmdGl0bGVfdHlwZT1mZWF0dXJlJg&ntb=1	Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town. Director: Billy Bob Thornton | Stars: Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter. Votes: 93,193 | Gross: $24.48M.			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
1996 Calendar	https://www.bing.com/ck/a?!&&p=08805351b2747b88fa55b6248ff3a26e259d29a8be3c1544abf7c16989c5d486JmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTQwMA&ptn=3&fclid=5409d17b-e1ee-11ec-8cd2-ac06f4960a71&u=a1aHR0cHM6Ly93d3cuY2FsZW5kYXItMzY1LmNvbS8xOTk2LWNhbGVuZGFyLmh0bWw&ntb=1				https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
1996 | Disney Wiki | Fandom	https://www.bing.com/ck/a?!&&p=65de26c8494fad1a48e344280a5bb635ab845f5d4d7f81d9a0c05f98a56f71cbJmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTQyMw&ptn=3&fclid=5409ee93-e1ee-11ec-8da5-3451983af802&u=a1aHR0cHM6Ly9kaXNuZXkuZmFuZG9tLmNvbS93aWtpLzE5OTY&ntb=1	Feb 02, 2019 · An overview of Disney-related events that occurred in 1996. February 2 - White Squall (Hollywood Pictures) February 16 - Muppet Treasure Island February 23 - Before and After (Hollywood Pictures with Caravan Pictures) March 1 - Up Close & Personal (Touchstone Pictures) was released to mostly negative reviews. March 8 - Homeward Bound II: Lost in San Francisco …			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
Computer History for 1996	https://www.bing.com/ck/a?!&&p=b6fa1807f5633d5d6d78f82595d91677045532a8d89dd6c4e7fd79293d9a91f0JmltdHM9MTY1NDExNzQyNyZpZ3VpZD1lMmU1ZDMyOS00MWI1LTQ5MDAtYWNiYi1lMzJkOWNjZWNlZWUmaW5zaWQ9NTQ1MQ&ptn=3&fclid=540a05d8-e1ee-11ec-841f-f27ac09c4dfb&u=a1aHR0cHM6Ly93d3cuY29tcHV0ZXJob3BlLmNvbS9oaXN0b3J5LzE5OTYuaHRt&ntb=1				https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
